GFI2	ARHGAP5
JUB	AJUBA
APG7L	ATG7
CYLD1	CYLD
ECK	EPHA2
XPD	ERCC2
FUBP	FUBP1
BTEB2	KLF5
SERK1	MAP2K4
TSE1	PRKAR1A
PRKAR1	PRKAR1A
TMSA	PTMA
CD45	PTPRC
ARHA	RHOA
ARH12	RHOA
CLS	RPS6KA3
MRX19	RPS6KA3
SNF5L1	SMARCB1
UMS	TBX3
TGIF	TGIF1
HPE4	TGIF1
GUD	WT1
ACVR2	ACVR2A
IMD1	BTK
AGMX1	BTK
EBI1	CCR7
CMKBR7	CCR7
LFA3	CD58
MHC2TA	CIITA
FTSJD1	CMTR2
HRPT1	CDC73
HRPT2	CDC73
C1orf28	CDC73
UVO	CDH1
CRKRS	CDK12
CDKN1	CDKN1A
MLM	CDKN2A
CDKN2	CDKN2A
CEBP	CEBPA
NOT3	CNOT3
RSTS	CREBBP
ACVRLK2	ACVR1
GRLF1	ARHGAP35
SMARCF1	ARID1A
C1orf4	ARID1A
ATD	ATM
ATC	ATM
ATDC	ATM
ATA	ATM
MRX52	ATRX
JMS	ATRX
RAD54	ATRX
API2	BIRC3
PPH1	BMPR2
FANCD	BRCA2
FACD	BRCA2
FANCD1	BRCA2
CUTL1	CUX1
DDX3	DDX3X
MNG1	DICER1
EIF1A	EIF1AX
EIF4C	EIF1AX
XPF	ERCC4
ESR	ESR1
LGS	EXT1
LGCR	EXT1
FAM46C	TENT5C
FANCH	FANCA
FACA	FANCA
FACC	FANCC
FANCD	FANCD2
FACD	FANCD2
FACE	FANCE
XRCC9	FANCG
FAT	FAT1
HNF3A	FOXA1
BPES	FOXL2
ALS6	FUS
GF1	GATA1
SDYS	GPC3
TCF1	HNF1A
MODY3	HNF1A
ZNFN1A3	IKZF3
MUM1	IRF4
MRX13	KDM5C
JARID1C	KDM5C
SMCX	KDM5C
UTX	KDM6A
COPEB	KLF6
ST12	KLF6
BCD1	KLF6
EMK1	MARK2
MKL1	MRTFA
COCA2	MLH1
MLL2	KMT2D
TNRC21	KMT2D
MLL3	KMT2C
COCA1	MSH2
GTBP	MSH6
DFNA17	MYH9
CAP43	NDRG1
PABPC2	PABPC1
PAB1	PABPC1
BORJ	PHF6
BFLS	PHF6
PMX2B	PHOX2B
PMSL2	PMS2
BLIMP1	PRDM1
PTCH	PTCH1
NBCCS	PTCH1
PTPB	PTPRB
OSRC	RB1
CBFA2	RUNX1
AML1	RUNX1
SDH2	SDHA
C11orf79	SDHAF2
PGL2	SDHAF2
SDH	SDHB
SDH1	SDHB
PGL3	SDHC
PGL1	SDHD
PGL	SDHD
SGK	SGK1
MADH3	SMAD3
RFWD1	TRAF7
TSC4	TSC2
BRF1	ZFP36L1
PDCD1LG1	CD274
MADH4	SMAD4
SNF2L	SMARCA1
SNF2L1	SMARCA1
SNF2L4	SMARCA4
CMPD1	SOX9
CMD1	SOX9
KIAA1546	TET2
CDX3	CDX2
CLTCL	CLTCL1
ZNF9	CNBP
DM2	CNBP
NEM1	TPM3
TIF1	TRIM24
C22orf12	DGCR8
KIAA1008	DIS3
KROX20	EGR2
PAST2	EHD2
ESX	ELF3
TYRO4	EPHA3
ETK1	EPHA3
ETK	EPHA3
TNFRSF6	FAS
APT1	FAS
FAS1	FAS
CCA	FBN2
FOXO1A	FOXO1
FKHR	FOXO1
AS	HLA-B
SJS1	HSPG2
PRSS25	HTRA2
IFNAR	IFNAR1
IFNGR	IFNGR1
ZNFN1A1	IKZF1
INOC1	INO80
JAK1B	JAK1
JMJD1B	KDM3B
C5orf7	KDM3B
C16orf44	KLHL36
GPR23	LPAR4
PRKMK7	MAP2K7
MEKK1	MAP3K1
C3orf59	MB21D2
FGS1	MED12
TNRC11	MED12
NFKBI	NFKBIA
TITF1	NKX2-1
BCH	NKX2-1
NKX2A	NKX2-1
TAN1	NOTCH1
TUSC4	NPRL2
NT5C3	NT5C3A
ADPRTL1	PARP4
OTF2	POU2F2
CALNA	PPP3CA
CALN	PPP3CA
MHAM	PTEN
BZS	PTEN
RASA	RASA1
RNPC1	RBM38
MFTL	RPS3A
PTPNS1	SIRPA
DFNA56	TNC
HXB	TNC
TSC	TSC1
C2orf2	EML4
FOXO3A	FOXO3
FKHRL1	FOXO3
SPD	HOXD13
HOX4I	HOXD13
MYST3	KAT6A
RUNXBP2	KAT6A
ZNF220	KAT6A
MLT	MALT1
PIM	PIM1
PCANAP8	SLC45A3
PCANAP2	SLC45A3
PCANAP6	SLC45A3
RAD53	CHEK2
WDRX1	WDR45
PRKWNK2	WNK2
SDCCAG43	WNK2
PRKWNK4	WNK4
PPCD3	ZEB1
TCF8	ZEB1
C16orf47	ZFHX3
ATBF1	ZFHX3
ZNF505	ZNF93
CLTCL2	CLTC
ACVRLK3	BMPR1A
CBL2	CBL
XPGC	ERCC5
ERCM2	ERCC5
FAM123B	AMER1
HNF3B	FOXA2
GNAI2B	GNAI2
MYST4	KAT6B
MLL	KMT2A
NBS1	NBN
NBS	NBN
PER	PER1
ZNF856B	BCL11B
SSH3BP1	ABI1
LAF4	AFF3
CLA2	ATP2B3
SCAX1	ATP2B3
CXorf10	BCORL1
CACNL1A2	CACNA1D
CCHL1A2	CACNA1D
CARS	CARS1
D10S170	CCDC6
TST1	CCDC6
C14orf18	CCNB1IP1
RSN	CLIP1
MECT1	CRTC1
HLR2	DDX6
HSPF1	DNAJB1
RNASEN	DROSHA
EBF	EBF1
EIF3S6	EIF3E
INT6	EIF3E
C19orf17	ELL
MLLT7	FOXO4
NMDAR2A	GRIN2A
HOX1	HOXA11
HOX1I	HOXA11
HOX1	HOXA9
HOX1G	HOXA9
CASC5	KNL1
MCPH4	KNL1
MYH12	MYO5A
NRG1-IT2	NRG1
HGL	NRG1
ZNF278	PATZ1
POLD	POLD1
RAD51L1	RAD51B
ANE1	RANBP2
ARHH	RHOH
C16orf75	RMI2
CBFA2T1	RUNX1T1
AML1T1	RUNX1T1
DFNA23	SIX1
MADH2	SMAD2
SIL	STIL
TAF2N	TAF15
CXXC6	TET1
MFS2	TGFBR2
TP53CP	TP63
TP53L	TP63
TP73L	TP63
EDD1	UBR5
THC	WAS
IMD2	WAS
ZNF145	ZBTB16
U2AF1L2	ZRSR2
